                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    150,                0.49265,                0.83304,                0.95937,                 0.7432,                0.85004,                0.87552,                0.73331,                0.66562,                0.82808,                 1.0954,             0.00085249,             0.00085249,             0.00085249
                    151,                0.50964,                0.87072,                0.98651,                0.75801,                0.95013,                0.88588,                0.75307,                0.67899,                0.83533,                 1.0965,              0.0008515,              0.0008515,              0.0008515
                    152,                0.48943,                0.81147,                0.97867,                0.89773,                0.84331,                0.89422,                0.75835,                0.69161,                 0.8253,                 1.0986,             0.00085051,             0.00085051,             0.00085051
                    153,                0.50328,                0.85796,                0.99577,                0.93217,                0.80943,                0.88309,                0.74522,                0.71222,                0.81159,                 1.1183,             0.00084952,             0.00084952,             0.00084952
                    154,                0.49506,                0.81808,                0.95731,                0.88853,                0.81886,                0.88309,                0.73345,                0.72808,                0.82465,                 1.1417,             0.00084853,             0.00084853,             0.00084853
                    155,                0.47828,                  0.792,                0.96694,                0.96253,                0.79276,                0.89346,                 0.7371,                0.71354,                0.82429,                 1.1296,             0.00084754,             0.00084754,             0.00084754
                    156,                0.45284,                0.79172,                0.96612,                0.91959,                0.85486,                0.89839,                0.76048,                0.71283,                 0.7946,                 1.1149,             0.00084655,             0.00084655,             0.00084655
                    157,                0.46501,                0.79057,                0.96358,                 0.9592,                0.82482,                0.89422,                0.74295,                0.71884,                0.79451,                 1.1185,             0.00084556,             0.00084556,             0.00084556
                    158,                0.48133,                0.80707,                0.97549,                0.92721,                 0.8286,                0.89686,                0.74426,                0.73079,                 0.7912,                 1.1262,             0.00084457,             0.00084457,             0.00084457
                    159,                0.47702,                0.81942,                0.96438,                0.96257,                0.79646,                0.88088,                0.73991,                0.71788,                 0.7973,                 1.1171,             0.00084358,             0.00084358,             0.00084358
                    160,                0.47152,                0.79441,                0.96139,                0.96169,                0.81621,                0.88385,                0.73881,                0.71743,                0.77416,                 1.1294,             0.00084259,             0.00084259,             0.00084259
                    161,                0.47658,                0.79588,                0.96596,                0.94855,                0.82478,                0.88385,                0.74427,                0.70532,                0.78185,                 1.1291,              0.0008416,              0.0008416,              0.0008416
                    162,                0.48439,                0.79091,                0.96859,                0.92825,                0.82224,                0.88649,                0.73088,                 0.7021,                0.80112,                 1.1313,             0.00084061,             0.00084061,             0.00084061
                    163,                0.51913,                0.84039,                0.99251,                0.91647,                0.83513,                0.88649,                0.73022,                0.71115,                 0.8278,                 1.1402,             0.00083962,             0.00083962,             0.00083962
                    164,                0.44213,                0.74033,                0.94183,                0.95975,                0.79776,                0.88385,                0.73024,                0.70141,                0.84517,                 1.1307,             0.00083863,             0.00083863,             0.00083863
                    165,                0.48038,                0.79146,                0.95674,                0.92058,                0.83933,                0.88385,                 0.7249,                 0.6851,                0.84149,                 1.1234,             0.00083764,             0.00083764,             0.00083764
                    166,                0.45813,                0.77636,                0.95515,                0.91237,                0.84974,                0.88385,                0.73065,                0.67658,                0.82366,                 1.1122,             0.00083665,             0.00083665,             0.00083665
                    167,                0.48627,                0.80653,                0.96609,                 0.8983,                0.82761,                0.87825,                0.73694,                0.69368,                0.82832,                 1.1211,             0.00083566,             0.00083566,             0.00083566
                    168,                0.47466,                0.79805,                0.96788,                0.92443,                0.83777,                0.88725,                0.73554,                0.69281,                0.81858,                 1.1163,             0.00083467,             0.00083467,             0.00083467
                    169,                0.46205,                0.76292,                0.96024,                0.93143,                0.83446,                0.89762,                0.75139,                0.70664,                0.79434,                 1.1275,             0.00083368,             0.00083368,             0.00083368
                    170,                0.45241,                0.76719,                0.94738,                0.94813,                0.82551,                0.89762,                0.74199,                0.70352,                 0.7912,                 1.1262,             0.00083269,             0.00083269,             0.00083269
                    171,                0.45864,                0.77594,                0.95157,                0.96967,                0.80966,                0.88944,                0.74185,                0.69409,                0.79535,                 1.1397,              0.0008317,              0.0008317,              0.0008317
