                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.70086,                 1.5811,                 1.0866,                  0.919,                0.60879,                0.84029,                0.71252,                0.68321,                 1.1418,                 1.1375,             0.00096733,             0.00096733,             0.00096733
                     35,                0.74307,                 1.5756,                 1.1031,                0.83876,                0.72141,                 0.8457,                0.71952,                0.66435,                 1.1419,                 1.1143,             0.00096634,             0.00096634,             0.00096634
                     36,                 0.7305,                 1.5691,                 1.0715,                 0.9282,                0.61228,                0.85153,                0.72036,                0.66778,                 1.1359,                 1.1073,             0.00096535,             0.00096535,             0.00096535
                     37,                0.70858,                 1.5352,                 1.0964,                0.94504,                0.59406,                0.84552,                0.70764,                0.68206,                  1.113,                 1.1015,             0.00096436,             0.00096436,             0.00096436
                     38,                0.68687,                  1.519,                 1.0712,                0.93174,                0.61198,                0.83967,                0.71317,                0.69708,                 1.1027,                 1.1075,             0.00096337,             0.00096337,             0.00096337
                     39,                0.69474,                 1.5122,                 1.0924,                 0.9489,                0.61791,                0.83085,                0.68654,                0.68884,                 1.1192,                 1.1138,             0.00096238,             0.00096238,             0.00096238
                     40,                0.69287,                 1.4646,                 1.0757,                0.71512,                0.75791,                0.78903,                0.65802,                0.69889,                 1.1982,                 1.1248,             0.00096139,             0.00096139,             0.00096139
                     41,                0.69899,                 1.4505,                 1.0914,                0.78389,                 0.7512,                0.77876,                0.63852,                    0.7,                 1.2115,                 1.1339,              0.0009604,              0.0009604,              0.0009604
                     42,                0.66538,                 1.4453,                  1.066,                0.90086,                  0.644,                0.81922,                0.67591,                0.68715,                 1.1608,                 1.1286,             0.00095941,             0.00095941,             0.00095941
                     43,                0.69895,                 1.3958,                 1.0922,                0.69041,                0.78461,                0.83366,                0.68449,                0.69227,                 1.0938,                 1.1221,             0.00095842,             0.00095842,             0.00095842
